,video,label,split,original
0,dwwytkheyx.mp4,FAKE,train,nlcqykqsdp.mp4
1,bdsxxaamze.mp4,FAKE,train,xzmplldajk.mp4
2,tfceaqvefa.mp4,FAKE,train,zkksmnscsf.mp4
3,lurozpmsqd.mp4,FAKE,train,urbulrzowx.mp4
4,jvlvkijuwa.mp4,FAKE,train,wvnjcwevzo.mp4
5,qcyjwpyzre.mp4,FAKE,train,ugujwdhxjd.mp4
6,mecrgujypj.mp4,FAKE,train,rgksdbawuc.mp4
7,tigrqefect.mp4,FAKE,train,kfhfeqpdwp.mp4
8,teffiqocch.mp4,FAKE,train,nlcqykqsdp.mp4
9,vhyvttctxs.mp4,FAKE,train,rgksdbawuc.mp4
10,tgbjtksars.mp4,FAKE,train,rkbxybizvj.mp4
11,razacdewcv.mp4,FAKE,train,nlcqykqsdp.mp4
12,gmcvyrferj.mp4,FAKE,train,jvmdzcrakg.mp4
13,puayaegfzc.mp4,FAKE,train,jvmdzcrakg.mp4
14,wnfqtbneoe.mp4,FAKE,train,unqatfflwv.mp4
15,rmmnxxhcrk.mp4,FAKE,train,zkksmnscsf.mp4
16,pttsfakrqz.mp4,FAKE,train,vqijtaxplt.mp4
17,ftulgaascq.mp4,FAKE,train,vtaztagukf.mp4
18,yzxusjbotb.mp4,FAKE,train,ugagvibmsu.mp4
19,lhwwhjhyqx.mp4,FAKE,train,fxxpxoqoxp.mp4
20,jxtgjddbpg.mp4,FAKE,train,nzwqstlacm.mp4
21,ieniyhcxoj.mp4,FAKE,train,ioujtlguyo.mp4
22,bwxkyqwwcb.mp4,FAKE,train,vqijtaxplt.mp4
23,xpfhawmzbe.mp4,FAKE,train,obutchbzkp.mp4
24,qejcjbqktv.mp4,FAKE,train,orqafstesq.mp4
25,ictulnhznj.mp4,FAKE,train,zkksmnscsf.mp4
26,mjfplichsx.mp4,FAKE,train,hmofiqjzxe.mp4
27,nlvybmxxcx.mp4,FAKE,train,ygiscbckjl.mp4
28,tmvqmdzyln.mp4,REAL,train,
29,fakfkpzenm.mp4,REAL,train,
30,logricueuw.mp4,FAKE,train,nfjfylwjvj.mp4
31,yyupvxlosv.mp4,FAKE,train,hqxlyxhjin.mp4
32,egcaufhmql.mp4,FAKE,train,inzgulrorj.mp4
33,fcacovhtqc.mp4,FAKE,train,vtaztagukf.mp4
34,nenjrzfjmg.mp4,FAKE,train,qggorpxlar.mp4
35,iybcwvsnru.mp4,FAKE,train,phgztyaash.mp4
36,dpldrcqfdx.mp4,FAKE,train,nzwqstlacm.mp4
37,qpgfhsmrnl.mp4,FAKE,train,eetigtaciw.mp4
38,inyhmnubqq.mp4,FAKE,train,sahcncjojl.mp4
39,sywiuziyod.mp4,FAKE,train,jduhzatmnf.mp4
40,ekgojnyvby.mp4,FAKE,train,uvogzfylos.mp4
41,aigufxcoyu.mp4,FAKE,train,obutchbzkp.mp4
42,uafpckeiyf.mp4,REAL,train,
43,esxygefppr.mp4,FAKE,train,iyfdxpvkgk.mp4
44,equvuhnfmu.mp4,FAKE,train,jidkzoagws.mp4
45,tesxxazgrc.mp4,FAKE,train,sahcncjojl.mp4
46,qtcfeioduu.mp4,FAKE,train,jidkzoagws.mp4
47,okgoflrwph.mp4,REAL,train,
48,apfribzdle.mp4,FAKE,train,ygiscbckjl.mp4
49,nfjfylwjvj.mp4,REAL,train,
50,nnglisilhj.mp4,FAKE,train,ttobmbsfoo.mp4
51,yktmulzkth.mp4,FAKE,train,wvnjcwevzo.mp4
52,ioztkmjhbg.mp4,FAKE,train,sqqamveljk.mp4
53,gqdahxdfxi.mp4,FAKE,train,bxsdnqizii.mp4
54,kdqesvetah.mp4,FAKE,train,sqqamveljk.mp4
55,jirqiqyyfb.mp4,FAKE,train,wvnjcwevzo.mp4
56,cyucijsqiw.mp4,FAKE,train,iondvzqjbe.mp4
57,gqpjtmozqb.mp4,FAKE,train,thfjhumgbp.mp4
58,dwbqyobupb.mp4,FAKE,train,thfjhumgbp.mp4
59,zpnjiswgdt.mp4,FAKE,train,inzgulrorj.mp4
60,rgksdbawuc.mp4,REAL,train,
61,phsfuuykbt.mp4,FAKE,train,ygiscbckjl.mp4
62,qathnxbqyg.mp4,FAKE,train,wvnjcwevzo.mp4
63,lvvixvighu.mp4,FAKE,train,nepiitaaql.mp4
64,fifiolrugh.mp4,FAKE,train,nepiitaaql.mp4
65,tmhnjscqou.mp4,FAKE,train,crfnqdprte.mp4
66,hfmicjxnyl.mp4,FAKE,train,gdygzrpynl.mp4
67,rwjdijuspp.mp4,FAKE,train,pobpsxjbzg.mp4
68,gpjwbkelnm.mp4,FAKE,train,rrgmkciwnk.mp4
69,mzvdjyomrd.mp4,FAKE,train,pobpsxjbzg.mp4
70,hyvdtasvvc.mp4,FAKE,train,jduhzatmnf.mp4
71,zeomlrebqu.mp4,FAKE,train,jniytngcmy.mp4
72,raciwiczgn.mp4,FAKE,train,rkbxybizvj.mp4
73,ogtvdjlpbc.mp4,FAKE,train,sqqamveljk.mp4
74,skoxffalth.mp4,FAKE,train,yicmivfoay.mp4
75,avmtuoxxer.mp4,FAKE,train,imtqhldxwh.mp4
76,mmffoscwcq.mp4,REAL,train,
77,sfrtbenmel.mp4,FAKE,train,pobpsxjbzg.mp4
78,fbibpnbjox.mp4,FAKE,train,bivzhsmrqo.mp4
79,rqbupxjvvp.mp4,FAKE,train,vwbdlklsjn.mp4
80,jkzfwaqzan.mp4,FAKE,train,eetigtaciw.mp4
81,mexhfpqdlf.mp4,FAKE,train,mmffoscwcq.mp4
82,ygiscbckjl.mp4,REAL,train,
83,jqzmyutuml.mp4,FAKE,train,ttobmbsfoo.mp4
84,kvmmepvfia.mp4,FAKE,train,inzgulrorj.mp4
85,tnmolkboei.mp4,FAKE,train,fxxpxoqoxp.mp4
86,zgduyagunm.mp4,FAKE,train,andnipfbgy.mp4
87,cmebjfuvfg.mp4,FAKE,train,mfcfhhxzif.mp4
88,eoovtabijc.mp4,FAKE,train,rgksdbawuc.mp4
89,ugpesqbrdu.mp4,FAKE,train,bivzhsmrqo.mp4
90,sqqamveljk.mp4,REAL,train,
91,eclnowceyi.mp4,FAKE,train,yicmivfoay.mp4
92,szjrtznnfy.mp4,FAKE,train,elsvnmrlue.mp4
93,osashdrxxu.mp4,FAKE,train,syfzjjdmxh.mp4
94,ayxwzqufmq.mp4,FAKE,train,nfjfylwjvj.mp4
95,nlcqykqsdp.mp4,REAL,train,
96,xmnafyhinq.mp4,FAKE,train,bxsdnqizii.mp4
97,dceycqcznl.mp4,FAKE,train,azhgwqmtmy.mp4
98,ffpwtqfazl.mp4,FAKE,train,urbulrzowx.mp4
99,rkbxybizvj.mp4,REAL,train,
100,obutchbzkp.mp4,REAL,train,
101,jolrloqajj.mp4,FAKE,train,alypwytrnl.mp4
102,oqvymdodta.mp4,FAKE,train,zlnphbedts.mp4
103,dcjmcaxcxz.mp4,FAKE,train,nzwqstlacm.mp4
104,qmyvdcrrmg.mp4,FAKE,train,kfhfeqpdwp.mp4
105,syfzjjdmxh.mp4,REAL,train,
106,whocnbawsb.mp4,FAKE,train,kfhfeqpdwp.mp4
107,nbsjrgghfg.mp4,FAKE,train,elsvnmrlue.mp4
108,eqztafqimw.mp4,FAKE,train,sahcncjojl.mp4
109,kwsurvunlh.mp4,FAKE,train,wxyjtncrax.mp4
110,wwxgzqjcba.mp4,FAKE,train,utnizyqmri.mp4
111,zfewguavdq.mp4,FAKE,train,mzurunkulx.mp4
112,iuwgvbwcmp.mp4,FAKE,train,ugujwdhxjd.mp4
113,inyzwblrvn.mp4,FAKE,train,jduhzatmnf.mp4
114,hblxigrvhs.mp4,FAKE,train,ugagvibmsu.mp4
115,rubvfzixsr.mp4,FAKE,train,rkbxybizvj.mp4
116,cwnnhwqhpu.mp4,FAKE,train,ikmsdmynbf.mp4
117,mfcfhhxzif.mp4,REAL,train,
118,uuscfojzrt.mp4,FAKE,train,okgoflrwph.mp4
119,deokroxvyd.mp4,FAKE,train,mfcfhhxzif.mp4
120,wxnwlupidk.mp4,FAKE,train,sahcncjojl.mp4
121,inzgulrorj.mp4,REAL,train,
122,ldngvlhild.mp4,FAKE,train,utnizyqmri.mp4
123,hnrlrzohns.mp4,FAKE,train,dmqwuutqun.mp4
124,ehtbcrzwed.mp4,FAKE,train,nlcqykqsdp.mp4
125,sfyfgmxewo.mp4,FAKE,train,fxxpxoqoxp.mp4
126,bsspfyrpnw.mp4,FAKE,train,wxyjtncrax.mp4
127,fwheahaubn.mp4,FAKE,train,alypwytrnl.mp4
128,eszrckbsto.mp4,FAKE,train,tqymjlgdsf.mp4
129,vhcghhjkul.mp4,FAKE,train,kvhbyuklfv.mp4
130,nmdksnzkqd.mp4,FAKE,train,imtqhldxwh.mp4
131,avqxrnfzpd.mp4,FAKE,train,elsvnmrlue.mp4
132,amdrqfyqgr.mp4,FAKE,train,iondvzqjbe.mp4
133,vtaztagukf.mp4,REAL,train,
134,gfruxwvrun.mp4,FAKE,train,fakfkpzenm.mp4
135,zuukdvgxvi.mp4,FAKE,train,hgcjhnidtm.mp4
136,vtgxjwotlk.mp4,FAKE,train,sqqamveljk.mp4
137,vvbutldixv.mp4,FAKE,train,hqxlyxhjin.mp4
138,vswceirobb.mp4,FAKE,train,unqatfflwv.mp4
139,qtvbhylcsp.mp4,FAKE,train,lhjcdavmmg.mp4
140,tmddpwraco.mp4,FAKE,train,xofswkdrvb.mp4
141,viwanuestq.mp4,FAKE,train,mmffoscwcq.mp4
142,xofswkdrvb.mp4,REAL,train,
143,kfhfeqpdwp.mp4,REAL,train,
144,kazwzzbgty.mp4,FAKE,train,iyfdxpvkgk.mp4
145,jkhfnbdhfg.mp4,FAKE,train,bunqneptba.mp4
146,qpvusdcyzn.mp4,FAKE,train,rkrizcgzgt.mp4
147,yxjjfaekev.mp4,FAKE,train,xofswkdrvb.mp4
148,lrvmamsdoe.mp4,FAKE,train,ugujwdhxjd.mp4
149,bxsdnqizii.mp4,REAL,train,
150,nbwcazqsrr.mp4,FAKE,train,myebjqbxsl.mp4
151,hurlxdpsxl.mp4,FAKE,train,iyfdxpvkgk.mp4
152,jwuiourbih.mp4,FAKE,train,rrgmkciwnk.mp4
153,wxyjtncrax.mp4,REAL,train,
154,muqopkbkfu.mp4,FAKE,train,bivzhsmrqo.mp4
155,rbwjthghwl.mp4,FAKE,train,tqymjlgdsf.mp4
156,spajtbokup.mp4,FAKE,train,gdygzrpynl.mp4
157,ufkuvxsouo.mp4,FAKE,train,tjjiejdbgx.mp4
158,jiusgiscfl.mp4,FAKE,train,uvogzfylos.mp4
159,xpntwjlmjt.mp4,FAKE,train,phgztyaash.mp4
160,sqnlfpydsm.mp4,FAKE,train,szwhgmrrhm.mp4
161,onsxznhftc.mp4,FAKE,train,xofswkdrvb.mp4
162,pndcdfogji.mp4,FAKE,train,dmqwuutqun.mp4
163,jtbslmtffu.mp4,FAKE,train,jduhzatmnf.mp4
164,vlypfdqlfy.mp4,FAKE,train,nzwqstlacm.mp4
165,rgkvzthnhr.mp4,FAKE,train,zlnphbedts.mp4
166,saqgpunfes.mp4,FAKE,train,bunqneptba.mp4
167,qviyebwxba.mp4,FAKE,train,qavvoguryv.mp4
168,twetrtahtt.mp4,FAKE,train,tyatbyiulg.mp4
169,hwwirlqjuh.mp4,FAKE,train,jniytngcmy.mp4
170,dbyordqnut.mp4,FAKE,train,jidkzoagws.mp4
171,yiyvrnijum.mp4,FAKE,train,qavvoguryv.mp4
172,gcpwisspwy.mp4,FAKE,train,tyjxmknivy.mp4
173,jxeqhujuvh.mp4,FAKE,train,webyiqztha.mp4
174,npdycydgac.mp4,FAKE,train,hqxlyxhjin.mp4
175,zaoyocjkgw.mp4,FAKE,train,nepiitaaql.mp4
176,mzeglwmfxd.mp4,FAKE,train,tmvqmdzyln.mp4
177,sltburykjp.mp4,FAKE,train,ikmsdmynbf.mp4
178,xaxvurgsuj.mp4,FAKE,train,ioujtlguyo.mp4
179,eqzsejevjm.mp4,FAKE,train,pxgcsltbuo.mp4
180,iosfhlelkz.mp4,FAKE,train,tyatbyiulg.mp4
